zona,centro,puntos
439902-IT URIBARRI,014680 - CPES Diego Berguices-Otxarkoaga BHIP,min
439905-IT IBAIONDO,014680 - CPES Diego Berguices-Otxarkoaga BHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014680 - CPES Diego Berguices-Otxarkoaga BHIP,min
439905-IT IBAIONDO,014495 - CPEIPS Abusu Ikastola HLBHIP,max
439905-IT IBAIONDO,014639 - CPEIPS El Salvador HLBHIP,max
439905-IT IBAIONDO,014683 - CPEIPS Presentación De María HLBHIP,max
439905-IT IBAIONDO,014516 - CPEIPS Urretxindorra Ikastola HLBHIP,max
439905-IT IBAIONDO,014619 - CPEIPS Ángeles Custodios HLBHIP,max
439901-IT DEUSTU,014495 - CPEIPS Abusu Ikastola HLBHIP,min
439902-IT URIBARRI,014495 - CPEIPS Abusu Ikastola HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014495 - CPEIPS Abusu Ikastola HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014495 - CPEIPS Abusu Ikastola HLBHIP,min
439901-IT DEUSTU,014639 - CPEIPS El Salvador HLBHIP,min
439902-IT URIBARRI,014639 - CPEIPS El Salvador HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014639 - CPEIPS El Salvador HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014639 - CPEIPS El Salvador HLBHIP,min
439901-IT DEUSTU,014683 - CPEIPS Presentación De María HLBHIP,min
439902-IT URIBARRI,014683 - CPEIPS Presentación De María HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014683 - CPEIPS Presentación De María HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014683 - CPEIPS Presentación De María HLBHIP,min
439901-IT DEUSTU,014516 - CPEIPS Urretxindorra Ikastola HLBHIP,min
439902-IT URIBARRI,014516 - CPEIPS Urretxindorra Ikastola HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014516 - CPEIPS Urretxindorra Ikastola HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014516 - CPEIPS Urretxindorra Ikastola HLBHIP,min
439901-IT DEUSTU,014619 - CPEIPS Ángeles Custodios HLBHIP,min
439902-IT URIBARRI,014619 - CPEIPS Ángeles Custodios HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014619 - CPEIPS Ángeles Custodios HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014619 - CPEIPS Ángeles Custodios HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014653 - CPEI Iparragirre Ikastola HIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014692 - CPEI San Jose-Urdaneta HIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,015208 - CPEI Umedi HIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014618 - CPEIPS Amor Misericordioso HLBHIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014630 - CPEIPS Calasancio HLBHIP,max
