EAEKOD_COD,Izena_Nomb,Zentro_mot,Info_gehia,Info_geh_1
014680,CPES OTXARKOAGA BHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014680,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014680
014677,CPEIPS NTRA. SRA. DEL CARMEN HLBHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014677,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014677
015218,CPES JURITECNIA BHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015218,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015218
015110,IES TXURDINAGA-ARTABE BHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015110,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015110
015048,ARTATZU GOIKO IRALE IRAKASTEGIA,Laguntzeko zentroa / Centro de apoyo,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015048,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015048
015258,ISEI-IVEI,Laguntzeko zentroa / Centro de apoyo,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015258,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015258
014692,CPEI SAN JOSE-URDANETA HIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014692,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014692
015004,CEPA BILBAO HHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015004,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015004
014126,CEIP LUIS BRIÑAS-SANTUTXU HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014126,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014126
014635,CPES OSCUS-DOLORES SOPE�A BHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014635,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014635
015075,IES LUIS BRIÑAS-SANTUTXU BHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015075,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015075
014948,INGURUGELA-CEIDA BILBAO,Laguntzeko zentroa / Centro de apoyo,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014948,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014948
014639,CPEIPS EL SALVADOR HLBHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014639,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014639
014167,BIZKAIKO HEZKUNTZA ORDEZKARITZA / DELEGACIÓN DE EDUCACIÓN DE BIZKAIA,Zentro administratiboa / Centro administrativo,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014167,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014167
015255,B02 BERRITZEGUNEA,Laguntzeko zentroa / Centro de apoyo,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015255,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015255
015223,IBD DE BIZKAIA/BIZKAIKO UBI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015223,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015223
015321,IKUSKARITZA BIZKAIA / INSPECCIÓN BIZKAIA,Laguntzeko zentroa / Centro de apoyo,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015321,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015321
015477,CAAPD ARGI ARTE APDIB,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015477,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015477
014160,CEIP ZURBARAN HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014160,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014160
015724,IES IGNACIO ELLACURÍA-ZURBARAN BHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015724,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015724
014655,CPEIPS JESÚS MARÍA HLBHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014655,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014655
015326,CPES BAGABILTZA BHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015326,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015326
014669,CPES MIKELDI BHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014669,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014669
015361,CEIP IRUARTETA HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015361,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015361
014509,CEIP INTXIXU IKASTOLA HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014509,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014509
